brand_name,brand_name_ar,generic_name,active_ingredient,strength,form,eda_reg_no
Panadol,بانادول,Paracetamol,Paracetamol,500mg,tablet,
Panadol Extra,بانادول اكسترا,Paracetamol/Caffeine,Paracetamol,500mg,tablet,
Brufen,بروفين,Ibuprofen,Ibuprofen,400mg,tablet,
Augmentin,اوجمنتين,Amoxicillin/Clavulanate,Amoxicillin,1g,tablet,
Cataflam,كتافلام,Diclofenac Potassium,Diclofenac,50mg,tablet,
Antinal,انتينال,Nifuroxazide,Nifuroxazide,200mg,capsule,
Congestal,كونجستال,Paracetamol/Pseudoephedrine,Paracetamol,500mg,tablet,
Comtrex,كومتركس,Paracetamol/Chlorpheniramine,Paracetamol,500mg,tablet,
Voltaren,فولتارين,Diclofenac Sodium,Diclofenac,50mg,tablet,
Concor,كونكور,Bisoprolol,Bisoprolol,5mg,tablet,
Glucophage,جلوكوفاج,Metformin,Metformin,500mg,tablet,
Nexium,نيكسيوم,Esomeprazole,Esomeprazole,40mg,tablet,
Flagyl,فلاجيل,Metronidazole,Metronidazole,500mg,tablet,
Zinnat,زينات,Cefuroxime,Cefuroxime,500mg,tablet,
Telfast,تلفاست,Fexofenadine,Fexofenadine,180mg,tablet,
Claritine,كلاريتين,Loratadine,Loratadine,10mg,tablet,
Ventolin,فنتولين,Salbutamol,Salbutamol,100mcg,inhaler
Insulin Mixtard,انسولين ميكستارد,Insulin,Insulin,100IU,injection,
Amrizole,امريزول,Metronidazole,Metronidazole,500mg,tablet,
Rivo,ريفو,Acetylsalicylic Acid,Aspirin,320mg,tablet,
